,24h_CON,24h_CON,24h_CON,24h_AA,24h_AA,24h_AA
,#1,#2,#3,#4,#5,#6
PS(46:6),0.053653805,0.049636537,0.062125577,0.009544442,0.010171536,0.008245987
PS(46:5),0.024727529,0.021781919,0.030108376,0.011529065,0.016262285,0.010853257
PC(O-28:0),0.049899945,0.039151021,0.045718428,0.014221287,0.014774815,0.012781417
PC(28:1),0.022508184,0.015813111,0.022911531,0.009416546,0.010477727,0.011828911
PC(28:0),0.369528325,0.322731373,0.329476006,0.351789516,0.399471789,0.428053137
PC(O-30:2),0.001340611,0.001131076,0.001746902,0.002097231,0.003192719,0.003029237
PC(O-30:2),0.078725606,0.072996178,0.071743894,0.065029092,0.088228765,0.087764552
PC(O-30:1),0.022873849,0.018323986,0.025970348,0.007284659,0.004186906,0.00767455
PC(O-30:0),0.154096518,0.299629461,0.268182732,0.08978948,0.090978307,0.100342055
PC(30:1),0.176059054,0.186740449,0.163978373,0.182896479,0.180671413,0.123663495
PC(30:0),1.190790028,1.274604342,1.065174238,1.678673189,1.54730151,1.88629958
PC(O-32:3),0.083234087,0.074886726,0.055367327,0.061630557,0.070466242,0.089161042
PC(O-32:2),0.518576343,0.485361722,0.37010987,0.528619975,0.575187803,0.758984031
PC(O-32:1),0.293242899,0.279452216,0.222006581,0.138573062,0.134553781,0.16455748
PC(O-32:0),0.392323965,0.333434593,0.266151692,0.094230891,0.084839092,0.086152675
PC(32:4),0.004130226,0.002873334,0.004341153,0.015372714,0.012905192,0.011926873
PC(32:3),0.00358288,0.001457144,0.001303667,0.069073408,0.064618573,0.072916748
PC(32:2),0.075675235,0.026378478,0.054045554,0.047772067,0.103619349,0.078988936
PC(32:1),0.155672405,0.941611071,0.755206888,0.471958608,0.082665112,0.289439742
PC(32:0),1.074150848,0.726798053,0.412228743,1.94494173,1.520645133,1.337827826
PC(32:0),0.928888882,0.964353269,0.789633482,1.666428947,1.375398801,1.616097007
PC(O-34:5),0.004528182,0.00478276,0.005838639,0.04237822,0.036022904,0.035852884
PC(O-34:4),0.038880506,0.037175831,0.026719544,0.025608432,0.028978269,0.038697798
