PC(O-18:1/22:5)	LION:0000498
PC(O-18:0/22:6)	LION:0000499
PC(O-18:0/22:5)	LION:0000502
PC(O-18:1/22:4)	LION:0000510
PC(O-20:0/20:4)	LION:0000519
PC(O-18:1/22:3)	LION:0000520
PC(O-18:0/22:4)	LION:0000521
PC(O-18:2/22:2)	LION:0000522
PC(O-20:4/22:4)	LION:0000523
PC(O-20:3/22:5)	LION:0000527
PC(O-20:5/22:3)	LION:0000533
PC(O-18:2/24:6)	LION:0000536
PC(O-22:3/22:5)	LION:0000538
PC(O-22:2/22:6)	LION:0000542
PC(O-18:2/26:6)	LION:0000554
PC(O-18:1/26:6)	LION:0000578
PC(O-22:2/22:5)	LION:0001443
PC(O-22:1/22:6)	LION:0016315
PC(O-18:2/26:5)	LION:0016425
PC(O-14:0/14:0)	LION:0017152
PC(O-12:0/16:0)	LION:0017153
PC(O-14:0/16:1)	LION:0017154
PC(O-12:0/18:1)	LION:0017155
PC(O-16:0/18:0)	LION:0017156
PC(O-16:0/20:5)	LION:0017157
PC(O-16:1/20:4)	LION:0017158
PC(O-14:0/22:5)	LION:0017159
PC(O-18:0/18:1)	LION:0017160
PC(O-18:0/18:0)	LION:0017161
PC(O-16:0/20:0)	LION:0017162
PC(O-16:1/22:6)	LION:0017163
PC(O-18:2/20:5)	LION:0017164
PC(O-18:3/20:4)	LION:0017165
PC(O-18:1/20:0)	LION:0017166
PC(O-16:0/22:1)	LION:0017167
PC(O-18:0/20:1)	LION:0017168
PC(O-18:0/20:0)	LION:0017169
PC(O-16:0/22:0)	LION:0017170
PC(O-20:4/20:4)	LION:0017171
PC(O-18:2/22:6)	LION:0017172
PC(O-18:1/22:6)	LION:0017173
PC(O-18:2/22:5)	LION:0017174
PC(O-18:1/22:2)	LION:0017175
PC(O-18:0/22:3)	LION:0017176
PC(O-18:2/22:1)	LION:0017177
PC(O-18:1/22:1)	LION:0017178
PC(O-18:0/22:2)	LION:0017179
PC(O-18:2/22:0)	LION:0017180
PC(O-20:4/22:6)	LION:0017181
PC(O-20:5/22:5)	LION:0017182
PC(O-20:4/22:5)	LION:0017183
PC(O-20:4/22:3)	LION:0017184
PC(O-18:1/24:6)	LION:0017185
PC(O-20:1/22:6)	LION:0017186
PC(O-20:5/22:2)	LION:0017187
PC(O-16:1/26:6)	LION:0017188
PC(O-18:2/24:5)	LION:0017189
PC(O-20:0/22:6)	LION:0017190
PC(O-20:4/22:2)	LION:0017191
PC(O-16:0/26:6)	LION:0017192
PC(O-18:1/24:5)	LION:0017193
PC(O-20:1/22:5)	LION:0017194
PC(O-18:0/24:6)	LION:0017195
PC(O-20:5/22:1)	LION:0017196
PC(O-16:1/26:5)	LION:0017197
PC(O-20:0/22:5)	LION:0017198
PC(O-20:4/22:1)	LION:0017199
PC(O-16:0/26:5)	LION:0017200
PC(O-18:0/24:5)	LION:0017201
PC(O-20:5/22:0)	LION:0017202
PC(O-20:4/22:0)	LION:0017206
PC(O-20:0/22:4)	LION:0017207
PC(O-20:0/22:3)	LION:0017213
PC(O-20:1/22:2)	LION:0017217
PC(O-20:3/22:0)	LION:0017218
PC(O-18:3/24:0)	LION:0017224
PC(O-20:0/22:2)	LION:0017229
PC(O-18:2/24:0)	LION:0017230
PC(O-20:1/22:1)	LION:0017233
PC(O-22:5/22:6)	LION:0017236
PC(O-22:5/22:5)	LION:0017241
PC(O-22:4/22:5)	LION:0017243
PC(O-20:4/24:5)	LION:0017244
PC(O-22:3/22:6)	LION:0017249
PC(O-22:0/22:5)	LION:0017250
PC(O-18:0/26:5)	LION:0017251
PC(O-20:5/24:0)	LION:0017256
PC(O-20:4/24:0)	LION:0017257
PC(O-22:0/22:4)	LION:0017262
PC(O-22:1/22:3)	LION:0017264
PC(O-22:2/22:2)	LION:0017265
PC(O-18:1/22:0)	LION:0017268
PC(O-18:0/22:1)	LION:0017271
PC(O-18:1/24:0)	LION:0017277
PC(O-20:0/22:1)	LION:0017279
PC(O-16:1/26:0)	LION:0017280
PC(O-28:1)	LION:0015516
PC(O-12:0/16:1)	LION:0018540
PC(O-28:2)	LION:0015517
PC(O-46:0)	LION:0015518
PC(O-20:0/26:0)	LION:0018545
PC(O-22:0/24:0)	LION:0018547
PC(O-46:1)	LION:0015519
PC(O-20:1/26:0)	LION:0018556
PC(O-22:1/24:0)	LION:0018558
PC(O-46:2)	LION:0015520
PC(O-22:2/24:0)	LION:0018564
PC(O-46:3)	LION:0015521
PC(O-20:3/26:0)	LION:0018566
PC(O-22:3/24:0)	LION:0018567
PC(O-46:4)	LION:0015522
PC(O-20:4/26:0)	LION:0018571
PC(O-46:5)	LION:0015523
PC(O-22:5/24:0)	LION:0018574
PC(O-20:5/26:0)	LION:0018581
PC(O-20:0/26:5)	LION:0018582
PC(O-46:6)	LION:0015524
PC(O-22:6/24:0)	LION:0018583
PC(O-20:0/26:6)	LION:0018584
PC(O-20:1/26:5)	LION:0018585
PC(O-22:0/24:6)	LION:0018586
PC(O-22:1/24:5)	LION:0018587
PC(O-46:7)	LION:0015525
PC(O-20:1/26:6)	LION:0018588
PC(O-22:1/24:6)	LION:0018589
PC(O-22:2/24:5)	LION:0018590
PC(O-46:8)	LION:0015526
PC(O-20:3/26:5)	LION:0018591
PC(O-22:2/24:6)	LION:0018592
PC(O-22:3/24:5)	LION:0018593
PC(O-46:9)	LION:0015561
PC(O-20:4/26:5)	LION:0018594
PC(O-46:10)	LION:0015562
PC(O-20:4/26:6)	LION:0018595
PC(O-22:5/24:5)	LION:0018596
PC(O-20:5/26:5)	LION:0018597
PC(O-46:11)	LION:0015563
PC(O-22:5/24:6)	LION:0018598
PC(O-20:5/26:6)	LION:0018599
PC(O-22:6/24:5)	LION:0018600
PC(O-46:12)	LION:0015564
PC(O-22:6/24:6)	LION:0018601
PC(O-46:13)	LION:0015565
PC(O-48:0)	LION:0015566
PC(O-22:0/26:0)	LION:0018602
PC(O-24:0/24:0)	LION:0018603
PC(O-48:1)	LION:0015567
PC(O-22:1/26:0)	LION:0018604
PC(O-48:2)	LION:0015568
PC(O-22:2/26:0)	LION:0018605
PC(O-48:3)	LION:0015569
PC(O-22:3/26:0)	LION:0018606
PC(O-48:4)	LION:0015570
PC(O-22:4/26:0)	LION:0018607
PC(O-48:5)	LION:0015571
PC(O-22:5/26:0)	LION:0018608
PC(O-48:6)	LION:0015572
PC(O-22:6/26:0)	LION:0018609
PC(O-22:0/26:6)	LION:0018610
PC(O-22:1/26:5)	LION:0018611
PC(O-48:7)	LION:0015573
PC(O-22:1/26:6)	LION:0018612
PC(O-22:2/26:5)	LION:0018613
PC(O-48:8)	LION:0015574
PC(O-22:2/26:6)	LION:0018614
PC(O-22:3/26:5)	LION:0018615
PC(O-48:9)	LION:0015575
PC(O-22:3/26:6)	LION:0018616
PC(O-22:4/26:5)	LION:0018617
PC(O-48:10)	LION:0015576
PC(O-22:5/26:5)	LION:0018618
PC(O-48:11)	LION:0015577
PC(O-22:5/26:6)	LION:0018619
PC(O-22:6/26:5)	LION:0018620
PC(O-48:12)	LION:0015578
PC(O-22:6/26:6)	LION:0018621
PC(O-48:13)	LION:0015579
PC(O-48:14)	LION:0015580
PC(P-28:0)	LION:0015274
PC(P-14:0/14:0)	LION:0018065
PC(P-12:0/16:0)	LION:0018066
PC(P-28:1)	LION:0015294
