,Nuclei,Nuclei,Nuclei,Mitochondria,Mitochondria,Mitochondria,ER,ER,ER,Plasmalemma,Plasmalemma,Plasmalemma,Dense Microsomes,Dense Microsomes,Dense Microsomes,Cytosol,Cytosol,Cytosol,Whole cell homogenate,Whole cell homogenate,Whole cell homogenate
,#1,#2,#3,#7,#8,#9,#13,#14,#15,#19,#20,#21,#25,#26,#27,#31,#32,#33,#37,#38,#39
SM(d18:1/24:1),1.87E+01,2.72E+00,3.65E-01,1.04E+01,2.39E+00,8.26E-01,2.26E+01,6.36E+00,4.00E+00,2.59E+01,6.67E+00,3.90E+00,1.10E+01,2.44E+00,1.24E+00,1.99E+01,2.64E+00,1.47E+00,3.37E+01,9.93E+00,2.24E+00
SM(d18:1/24:0),1.37E+01,1.81E+00,3.09E-01,7.52E+00,1.27E+00,2.83E-01,1.57E+01,3.32E+00,2.12E+00,1.79E+01,3.51E+00,2.37E+00,8.47E+00,1.44E+00,5.90E-01,1.37E+01,1.73E+00,9.80E-01,2.53E+01,5.15E+00,1.02E+00
SM(d18:1/26:1),2.18E-01,1.66E-02,2.11E-02,1.21E-01,1.78E-02,3.24E-05,2.62E-01,5.25E-02,3.06E-02,3.02E-01,8.08E-02,6.44E-02,1.21E-01,3.34E-02,4.27E-05,2.13E-01,2.14E-02,3.00E-04,4.00E-01,8.38E-02,5.91E-03
SM(d18:1/26:0),8.57E-02,4.08E-02,1.69E-02,4.41E-02,4.02E-02,3.24E-05,1.02E-01,4.15E-02,1.48E-02,1.19E-01,3.34E-02,2.37E-02,6.27E-02,8.57E-02,3.72E-02,1.10E-01,1.05E-01,6.54E-02,1.68E-01,2.15E-02,5.60E-05
SM(d18:0/16:0),3.12E+00,2.42E+00,1.97E+00,2.33E+00,1.27E+00,2.06E+00,3.59E+00,2.57E+00,4.24E+00,4.53E+00,2.81E+00,5.59E+00,2.53E+00,2.44E+00,2.10E+00,7.55E+00,4.23E+00,5.99E+00,4.74E+00,2.99E+00,5.60E+00
SM(d18:0/18:0),1.07E-01,7.56E-02,5.76E-02,1.38E-01,4.22E-02,1.00E-01,2.21E-01,7.47E-02,1.95E-01,2.11E-01,6.15E-02,3.39E-01,5.17E-02,1.08E-01,6.44E-02,2.40E-01,2.18E-01,2.02E-01,2.53E-01,1.91E-01,2.14E-01
SM(d18:0/20:0),1.40E-01,1.81E-02,7.72E-05,1.12E-01,7.12E-02,2.18E-02,1.08E-01,8.85E-02,8.95E-02,1.55E-01,1.30E-01,1.69E-01,6.05E-02,2.44E-02,1.86E-01,6.80E-02,5.01E-02,3.00E-04,2.11E-01,1.68E-01,9.57E-02
SM(d18:0/22:0),8.72E-02,6.20E-02,7.72E-05,4.84E-02,2.80E-05,5.43E-02,1.02E-01,1.47E-01,1.93E-01,1.53E-01,1.40E-01,2.88E-01,1.76E-02,4.96E-05,4.11E-02,2.47E-01,1.55E-01,3.54E-02,1.26E-01,1.32E-01,2.24E-01
SM(d18:0/24:1),9.03E-01,2.27E-01,2.81E-01,5.36E-01,1.88E-01,5.19E-01,1.63E+00,6.64E-01,1.91E+00,1.57E+00,6.67E-01,2.37E+00,5.72E-01,3.16E-01,6.36E-01,1.17E+00,1.18E-01,1.25E+00,2.00E+00,9.45E-01,7.54E-01
SM(d18:0/24:0),1.26E-01,1.81E-02,5.76E-02,4.49E-02,4.93E-02,5.07E-02,2.26E-01,5.25E-02,1.58E-01,1.64E-01,3.86E-02,3.73E-01,6.38E-02,2.44E-02,2.02E-01,4.19E-01,2.50E-04,2.02E-01,1.79E-01,8.50E-02,1.83E-01
SM(d18:0/26:1),1.87E-02,8.32E-05,2.81E-02,9.50E-03,2.80E-05,1.36E-02,7.45E-03,1.52E-05,4.47E-03,2.07E-02,1.28E-02,2.54E-02,9.02E-02,4.96E-05,4.27E-05,3.78E-04,9.56E-02,1.09E-01,4.32E-02,6.70E-03,6.93E-02
SM(d18:0/26:0),1.20E-02,1.39E-02,2.81E-02,6.39E-03,2.09E-02,1.18E-01,1.46E-02,1.52E-05,2.05E-02,1.10E-02,6.85E-03,3.22E-02,1.65E-02,4.96E-05,4.27E-05,3.78E-04,2.50E-04,1.63E-01,3.16E-02,6.70E-03,5.60E-05
cholesterol,249.23985,181.42838,154.48783,155.52208,111.90643,129.74325,303.57591,259.97694,282.60667,344.76498,316.09191,338.95538,153.96463,117.32999,108.63734,116.73027,43.22513,70.80999,326.38279,454.79704,448.1031
desmosterol,1.32E+00,1.29E+00,1.10E+00,9.50E-01,8.65E-01,8.26E-01,1.82E+00,2.10E+00,2.10E+00,1.85E+00,2.28E+00,2.03E+00,8.14E-01,8.84E-01,6.67E-01,4.26E-01,3.09E-01,4.63E-01,1.58E+00,2.75E+00,2.75E+00
lanosterol,6.54E-02,6.35E-02,5.34E-02,1.30E-01,5.60E-02,6.49E-02,1.19E-01,4.43E-02,8.48E-02,9.05E-02,5.62E-02,5.42E-02,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,1.47E-01,1.32E-01,1.22E-01
7-dehydro-cholesterol,6.85E-01,8.32E-05,3.51E-01,4.75E-05,4.88E-01,1.95E-01,4.42E-01,5.53E-01,6.12E-01,4.74E-01,5.62E-01,3.90E-01,6.05E-05,4.78E-01,2.72E-01,3.78E-04,2.50E-04,3.00E-04,4.74E-01,1.08E+00,5.60E-05
22R-hydroxy-cholesterol,9.19E-02,8.32E-05,7.72E-05,4.75E-05,2.80E-05,3.24E-05,1.52E-05,1.52E-05,1.30E-05,1.27E-01,9.66E-06,9.32E-06,6.05E-05,4.96E-05,5.66E-01,3.78E-04,2.50E-04,3.00E-04,5.79E-05,6.58E-05,5.60E-05
25-hydroxy-cholesterol,4.21E-02,3.48E-02,7.72E-05,5.53E-02,2.09E-02,3.66E-02,1.41E-02,2.13E-02,3.06E-02,2.11E-02,1.19E-02,9.32E-06,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,2.53E-02,6.58E-05,6.31E-02
27-hydroxy-cholesterol,6.70E-02,8.92E-02,1.54E-01,1.04E-01,7.12E-02,1.30E-01,3.59E-02,2.63E-02,7.30E-02,2.15E-02,2.99E-02,6.27E-02,6.05E-05,4.96E-05,4.35E-02,3.78E-04,2.50E-04,3.00E-04,1.58E-01,1.91E-01,2.65E-01
4b-hydroxy-cholesterol,2.49E-02,2.57E-02,3.09E-02,1.73E-02,1.12E-02,1.18E-02,2.26E-02,2.54E-02,1.44E-02,1.92E-02,1.93E-02,1.59E-02,2.09E-02,1.08E-02,2.17E-02,3.78E-04,2.50E-04,3.00E-04,3.26E-02,5.03E-02,8.05E-02
6a-hydroxy-cholestanol,0.85676197,1.14904643,1.96620881,1.03681388,0.96646467,0.70769045,0.68994526,0.71908516,0.56521334,0.40940841,0.4565772,0.45758976,2.08952002,1.53431519,1.70715823,1.92261614,1.50150447,1.68854582,2.21098021,2.63303548,2.54604037
7-oxo-cholesterol,6.54E-01,4.84E-01,2.81E-01,4.41E-01,3.36E-01,2.12E-01,3.04E-01,3.04E-01,2.31E-01,3.45E-01,2.81E-01,2.20E-01,2.97E-01,1.81E-01,3.34E-01,1.72E-01,1.05E-01,1.03E-01,3.90E-01,5.51E-01,4.38E-01
7a-hydroxy-cholesterol,8.72E-02,1.66E-01,5.62E-02,5.10E-02,4.43E-02,1.65E-02,2.01E-02,3.87E-02,2.26E-02,3.23E-02,2.81E-02,8.47E-02,6.05E-05,2.35E-02,7.76E-02,3.78E-04,2.50E-04,3.00E-04,5.26E-02,9.34E-02,8.05E-02
cholestenone,4.98E-02,4.69E-02,4.92E-02,3.80E-02,3.15E-02,2.95E-02,3.86E-02,3.60E-02,2.83E-02,3.02E-02,1.93E-02,2.20E-02,3.52E-02,3.07E-02,3.18E-02,3.78E-04,2.50E-04,3.00E-04,6.21E-02,5.63E-02,4.28E-02
