,Nuclei,Nuclei,Nuclei,Mitochondria,Mitochondria,Mitochondria,ER,ER,ER,Plasmalemma,Plasmalemma,Plasmalemma,Dense Microsomes,Dense Microsomes,Dense Microsomes,Cytosol,Cytosol,Cytosol,Whole cell homogenate,Whole cell homogenate,Whole cell homogenate
,#1,#2,#3,#7,#8,#9,#13,#14,#15,#19,#20,#21,#25,#26,#27,#31,#32,#33,#37,#38,#39
PC(16:0/18:0),4.517472,8.315468,9.690601,7.689703,8.13865,13.564067,1.738662,1.880684,2.331505,5.817909,5.970625,4.914853,1.869571,6.047007,8.535791,5.905178,7.280022,5.991614,3.684967,5.385754,4.582873
PC(16:0/20:4),2.18E+00,2.57E+00,3.93E+00,2.07E+00,2.39E+00,2.48E+00,1.52E-05,1.88E+00,2.24E+00,2.03E+00,2.46E+00,2.37E+00,2.97E+00,3.43E+00,3.41E+00,3.78E-04,2.50E-04,4.85E+00,2.42E+00,1.91E+00,1.63E+00
PC(16:0/20:3),4.52E+00,4.84E+00,6.88E+00,5.96E+00,6.10E+00,7.08E+00,6.62E+00,5.25E+00,5.18E+00,2.59E+00,3.69E+00,3.39E+00,8.03E+00,9.03E+00,1.09E+01,9.61E+00,1.05E+01,1.09E+01,2.63E+00,3.47E+00,3.26E+00
PC(18:0/18:2),32.71273,42.33329,51.96409,41.47256,40.18458,48.94859,13.79891,41.48568,42.391,23.70259,29.85312,27.11643,63.78535,75.81322,76.04614,68.66486,91.00027,76.25691,41.06106,25.13352,22.40516
PC(18:0/18:1),2.49E+01,3.63E+01,7.72E-05,3.02E+01,3.46E+01,3.77E+01,8.56E+00,2.18E+01,2.59E+01,2.07E+01,2.28E+01,2.03E+01,3.41E+01,4.51E+01,3.57E+01,3.57E+01,4.32E+01,3.87E+01,2.00E+01,2.15E+01,1.93E+01
PC(18:0/18:0),3.89E+00,6.05E+00,1.17E+01,3.80E+00,5.09E+00,5.43E+00,1.52E-05,1.52E-05,9.42E-01,2.37E+00,1.76E+00,6.78E-01,1.65E+00,2.44E+00,4.27E-05,3.78E-04,2.50E-04,1.03E+00,5.79E-05,2.75E+00,2.85E+00
PC(16:0/22:6),14.79862,21.16664,26.68426,15.55221,18.31196,20.64097,10.76315,13.82856,16.01438,15.94538,19.31673,16.26986,19.79545,24.36854,21.72747,21.28611,29.57509,27.7793,11.58132,11.96834,12.22099
PC(18:1/20:4),6.70E+00,9.83E+00,1.01E+01,6.74E+00,8.14E+00,8.85E+00,9.38E+00,4.70E+00,4.95E+00,7.76E+00,7.02E+00,5.93E+00,6.93E+00,8.30E+00,5.66E+00,1.03E+01,9.56E+00,7.63E+00,4.32E+00,5.63E+00,5.80E+00
PC(18:0/20:4),4.83E+00,6.35E+00,7.86E+00,6.31E+00,6.61E+00,7.67E+00,8.56E+00,3.04E+00,4.00E+00,3.23E+00,2.28E+00,1.10E+00,6.38E+00,7.49E+00,6.44E+00,6.25E+00,9.10E+00,6.54E+00,2.42E+00,3.95E+00,3.36E+00
PC(18:0/20:2),8.57E+00,1.12E+01,1.21E+01,1.12E+01,1.07E+01,1.12E+01,7.45E+00,6.36E+00,7.07E+00,5.60E+00,4.21E+00,3.39E+00,1.01E+01,1.35E+01,1.09E+01,1.30E+01,1.41E+01,1.20E+01,5.37E+00,6.22E+00,6.01E+00
PC(16:0/22:1),6.542546,11.7928449,8.7074961,3.1104416,6.1039874,5.779472,6.3474964,6.0845667,8.0071889,12.9286866,9.8339704,12.0329159,8.1381306,5.7762454,7.4494177,7.5531348,11.8300352,6.5363064,4.0008213,0.2992086,1.323941
PC(18:0/20:0),1.71E+01,2.12E+01,3.23E+01,2.51E+01,2.44E+01,3.13E+01,3.59E+00,1.08E+01,1.34E+01,8.40E+00,1.04E+01,8.81E+00,1.98E+01,2.44E+01,2.33E+01,2.20E+01,2.55E+01,2.45E+01,1.03E+01,1.03E+00,8.76E-01
PC(18:1/22:6),1.71E+01,5.14E+00,7.58E+00,4.67E+00,4.22E+00,2.24E+01,1.46E+01,1.05E+01,1.11E+01,7.33E+00,1.14E+01,7.80E+00,1.43E+01,1.99E+01,1.55E+01,1.72E+01,2.32E+01,1.85E+01,5.79E-05,1.09E+01,1.12E+01
PC(18:0/22:6),1.71E+01,4.84E+00,6.04E+00,3.63E+00,2.80E-05,2.54E+00,1.44E+01,9.96E+00,9.18E+00,6.25E+00,1.49E+00,1.19E+00,1.21E+01,1.62E+01,1.24E+01,1.37E+01,1.73E+01,1.58E+01,6.42E+00,1.11E+01,1.12E+01
PC(18:0/22:4),3.12E+00,8.32E-05,7.72E-05,4.49E+00,2.80E-05,3.24E-05,9.11E+00,1.52E-05,1.84E+00,1.19E-05,9.66E-06,9.32E-06,2.20E+00,2.98E+00,2.79E+00,3.78E-04,2.50E-04,3.00E-04,5.79E-05,1.91E+00,1.93E+00
PC(18:2/22:0),1.39E+00,1.41E+00,2.53E+00,1.73E+00,1.73E+00,2.36E+00,1.52E-05,1.52E-05,1.30E-05,4.74E-01,9.66E-06,9.32E-06,1.98E+00,1.53E+00,1.40E+00,3.78E-04,2.50E-04,3.00E-04,5.79E-05,1.11E+00,1.02E+00
PC(18:0/22:1),4.83E+00,6.20E+00,7.86E+00,6.57E+00,6.61E+00,7.67E+00,1.52E-05,2.71E+00,3.06E+00,2.59E+00,2.46E+00,2.20E+00,4.95E+00,5.78E+00,3.96E+00,6.32E+00,5.01E+00,5.99E+00,1.90E+00,2.63E+00,2.95E+00
PC(18:2/24:0),9.19E+00,1.10E+01,1.21E+01,1.12E+01,1.22E+01,1.18E+01,1.52E-05,3.32E+00,3.77E+00,3.66E+00,3.51E+00,2.54E+00,6.60E+00,8.57E+00,6.98E+00,3.78E-04,1.09E+01,9.26E+00,3.26E+00,5.03E+00,5.19E+00
