,FFA_AA,FFA_AA,FFA_AA,FFA_BSA,FFA_BSA,FFA_BSA,FFA_LA,FFA_LA,FFA_LA,FFA_PA,FFA_PA,FFA_PA
,#10,#11,#12,#1,#2,#3,#7,#8,#9,#4,#5,#6
PI(O-16:0/20:4),0.068590626,0.063797544,0.065951113,0.071938836,0.063408533,0.056271551,0.028844212,0.038128838,0.029414799,0.028120549,0.030492599,0.034226484
PI(O-16:0/20:3),0.00142354,0.001498731,0.00103227,0.015469365,0.01117386,0.012032498,0.021177352,0.017046224,0.017670594,0.006164946,0.009151075,0.006266697
PI(O-18:1/18:1),0.01817527,0.011563747,0.019873824,0.03004957,0.027872761,0.029614316,0.011616462,0.011715904,0.014007977,0.010735624,0.013372101,0.010908185
PI(O-18:0/18:1),0.019812294,0.022602526,0.020918911,0.018211693,0.019706324,0.020804221,0.001677097,4.84E-05,0.002134132,0.035396208,0.037757026,0.06095392
PI(16:0/20:5),0.044538623,0.041542982,0.034572197,0.062589101,0.056868358,0.051839082,0.005175349,0.006598815,0.007964327,0.153631182,0.169307839,0.155141495
PI(16:0/20:4),3.988333928,4.233201576,3.92807281,1.461008095,1.330326314,1.229128624,0.80125606,0.798167384,0.792145867,1.926869625,2.209461335,2.16363998
PI(18:1/18:2),0.039115462,0.111150161,0.062803504,0.291680034,0.217905573,0.233093679,0.356671897,0.190715786,0.152073524,0.062257867,0.056818715,0.0104455
PI(18:1/18:1),0.316936683,0.208565738,0.230919273,1.676183842,1.666272487,1.638630043,5.311201201,5.727336392,5.139507048,0.481433577,0.536149796,0.630777505
PI(18:0/18:1),0.123109352,0.14238795,0.160135685,0.983396872,1.058926796,1.03459347,0.330438505,0.252356344,0.241446572,2.237652833,2.289848738,2.426163303
PI(O-18:0/20:6),0.001680603,0.002351594,0.00161787,0.022446841,0.027964513,0.02312924,0.019615617,0.017067499,0.029608879,0.016093888,0.011369676,0.016371114
PI(O-18:1/20:4),0.117443567,0.114810931,0.105656929,0.155311924,0.151708248,0.152609502,0.066719198,0.092016197,0.076449806,0.065904057,0.073989506,0.071442613
PI(O-18:0/20:4),0.027693862,0.027195575,0.023127063,0.086361782,0.084836639,0.070260055,0.029873216,0.028620719,0.03530121,0.031863701,0.034196236,0.0378443
PI(16:0/22:6),0.109909124,0.125521341,0.123520711,0.249843234,0.222982873,0.243761044,0.102512208,0.101331367,0.098650295,0.786015782,0.787663337,0.723392644
PI(18:1/20:4),1.905076632,2.111810173,1.768463259,1.383004763,1.319742055,1.298750022,0.430003763,0.463039772,0.434330349,1.316818179,1.16600668,1.25333879
PI(18:0/20:4),11.28935671,9.770871549,10.70953896,11.44297821,11.37141138,11.34343176,10.81201081,11.20511683,11.59510583,8.329776108,8.476824676,7.77853142
PI(18:0/20:3),0.24298241,0.325436831,0.283513767,1.19259569,1.27256817,1.151765795,1.201856177,1.009063912,0.970559371,1.289175814,1.266955018,1.183892327
PI(18:0/20:3),0.262026916,0.196699566,0.285434762,1.153569782,0.640939414,0.097656487,0.343531564,0.601012256,0.829629524,0.205010137,0.248373938,0.186302121
PI(18:0/20:2),0.02165405,0.019243761,0.022243788,0.024670488,0.031823163,0.026817537,0.006858023,0.009596512,0.015801004,0.037732434,0.036970852,0.031702001
PI(18:0/20:1),0.019969555,0.017840557,0.020485123,0.046354149,0.04797828,0.042562574,0.051942073,0.050190585,0.054537643,0.092872295,0.090824202,0.079893428
PI(O-18:1/22:5),0.003662899,0.002957852,0.003368857,0.038492895,0.034754898,0.0417025,0.017789856,0.007526313,0.012907922,0.008400271,0.010260728,0.011799
PI(O-18:1/22:4),0.033158137,0.015493346,0.018030269,0.050717016,0.037296221,0.032363532,0.01275159,0.006535647,0.003566767,0.013905594,0.016640253,0.009334603
