,Nuclei_Control,Nuclei_Control,Nuclei_Control,Nuclei_KLA,Nuclei_KLA,Nuclei_KLA,Mitochondria_Control,Mitochondria_Control,Mitochondria_Control,Mitochondria_KLA,Mitochondria_KLA,Mitochondria_KLA,ER_Control,ER_Control,ER_Control,ER_KLA,ER_KLA,ER_KLA,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_KLA,Plasmalemma_KLA,Plasmalemma_KLA,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_KLA,Dense Microsomes_KLA,Dense Microsomes_KLA,Cytosol_Control,Cytosol_Control,Cytosol_Control,Cytosol_KLA,Cytosol_KLA,Cytosol_KLA,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_KLA,Whole cell homogenate_KLA,Whole cell homogenate_KLA
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42
GPA(40:3),7.36E-01,8.21E-01,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.32E-01,1.18E+00,4.43E-01,1.51E+00,9.02E-01,3.23E-05,1.50E-05,9.07E-01,5.13E-01,1.60E+00,8.28E-01,6.21E-01,6.45E-01,1.56E+00,9.48E-01,9.99E-01,9.65E-01,1.06E-05,6.03E-05,8.01E-01,4.26E-05,6.95E-01,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,9.96E-01,7.88E-01,9.74E-01,7.26E-01,1.92E-01
GPA(40:1),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,2.59E-05,3.01E-05,2.60E-05,1.91E-05,3.23E-05,1.50E-05,1.51E-05,1.28E-05,1.52E-05,1.57E-05,1.42E-05,1.18E-05,3.33E-01,2.03E-01,1.06E-05,2.24E-01,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,5.48E-05,5.88E-05,4.99E-05,4.80E-05
GPA(40:0),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,2.59E-05,3.01E-05,2.60E-05,1.91E-05,3.23E-05,1.50E-05,3.57E-01,4.20E-01,1.52E-05,4.86E-01,4.14E-01,3.65E-01,4.91E-01,5.42E-01,5.95E-01,4.13E-01,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,3.40E-01,3.89E-01,5.88E-05,4.99E-05,4.80E-05
GPCho(28:0),1.05E+00,1.47E+00,1.67E+00,3.50E+00,2.30E+00,2.21E+00,9.67E-01,1.32E+00,1.53E+00,2.55E+00,2.71E+00,1.64E+00,1.99E+00,1.68E+00,8.40E-01,2.01E+00,1.34E+00,1.11E+00,5.80E-01,1.93E+00,1.08E+00,1.57E+00,2.07E+00,3.46E+00,1.21E+00,1.35E+00,9.29E-01,2.25E+00,2.86E+00,1.97E+00,2.46E+00,4.22E+00,1.41E+00,3.80E+00,2.83E+00,2.41E+00,5.66E-05,7.38E-01,6.28E-01,1.18E+00,1.09E+00,1.13E+00
GPCho(32:2),2.40E+00,3.23E+00,4.60E+00,3.50E+00,3.66E+00,3.14E+00,2.83E+00,2.88E+00,4.49E+00,2.32E+00,3.26E+00,2.70E+00,2.29E+00,2.75E+00,3.50E+00,2.59E+00,2.74E+00,2.22E+00,1.29E+00,1.75E+00,1.86E+00,1.33E+00,2.07E+00,1.06E-05,3.73E+00,4.23E+00,5.27E+00,4.51E+00,5.28E+00,3.86E+00,4.24E+00,5.90E+00,4.94E+00,5.43E+00,5.76E+00,4.31E+00,2.47E+00,1.52E+00,1.79E+00,1.28E+00,1.27E+00,1.40E+00
GPCho(32:1),13.965801,19.0632,26.481926,32.18495,31.145815,26.3271,15.626436,17.455406,21.900663,18.444277,23.583005,20.553338,7.921491,20.348021,23.338412,27.281639,25.708466,18.88237,9.887437,14.903288,14.384656,16.709726,17.226896,13.461926,26.321674,30.615651,33.302771,41.134221,42.051246,30.511991,31.428519,36.314807,32.051448,47.816227,48.725075,34.470561,16.473547,10.77867,10.966646,11.769722,10.893107,10.473615
GPCho(32:0),6.457306,8.7984,8.223335,12.454176,11.51041,8.322761,5.506458,7.548284,7.117716,7.566883,7.976605,5.813659,4.643633,7.699251,6.534755,9.369452,8.283839,6.466565,7.737994,10.519968,8.461562,13.828738,10.852944,7.11559,9.212586,9.905063,7.280141,9.793862,7.515542,5.922916,10.931659,12.710182,8.691918,12.497423,11.073881,9.694845,7.104217,5.740813,4.685749,6.205854,5.446554,4.974967
GPCho(34:3),6.01E-01,6.75E-01,9.34E-01,7.70E-05,6.91E-01,8.15E-01,6.18E-01,6.13E-01,9.31E-01,4.11E-01,6.24E-01,6.46E-01,2.59E+00,1.51E-05,7.47E-01,1.52E-05,5.14E-01,4.91E-01,3.44E-01,6.66E-01,9.31E-06,1.06E-05,9.47E-06,1.06E-05,9.76E-01,1.17E+00,1.16E+00,8.32E-01,8.95E-01,8.53E-01,1.71E+00,2.50E-04,1.74E+00,2.99E-04,2.44E-04,1.72E+00,5.66E-05,3.87E-01,3.99E-01,2.14E-01,3.00E-01,4.80E-05
GPCho(34:2),5.706456,6.89208,11.429042,8.675943,9.072911,8.492613,6.920279,7.076516,9.307782,5.202232,6.936178,7.046859,3.004703,8.249198,9.335365,7.440447,7.71254,6.466565,3.654053,5.259984,5.4154,4.033382,4.478993,3.846265,12.064101,14.407365,17.038627,13.711407,14.315318,12.563761,15.031031,19.973144,16.840591,15.75762,15.946388,14.362734,8.030854,4.569219,4.685749,3.209924,3.08638,3.403925
GPCho(34:1),1.20E+01,1.47E+01,2.09E+01,7.70E-05,2.44E+01,2.04E+01,1.26E+01,1.46E+01,1.64E+01,1.42E+01,1.77E+01,1.70E+01,7.38E+00,1.76E+01,1.73E+01,1.96E+01,2.00E+01,1.58E+01,1.07E+01,1.60E+01,1.46E+01,1.67E+01,1.60E+01,1.12E+01,2.52E+01,2.88E+01,3.10E+01,3.23E+01,3.40E+01,2.69E+01,3.14E+01,4.04E+01,3.21E+01,4.13E+01,3.85E+01,3.41E+01,1.75E+01,9.96E+00,9.27E+00,9.42E+00,9.08E+00,8.73E+00
