,Nuclei_Control,Nuclei_Control,Nuclei_Control,Nuclei_KLA,Nuclei_KLA,Nuclei_KLA,Mitochondria_Control,Mitochondria_Control,Mitochondria_Control,Mitochondria_KLA,Mitochondria_KLA,Mitochondria_KLA,ER_Control,ER_Control,ER_Control,ER_KLA,ER_KLA,ER_KLA,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_KLA,Plasmalemma_KLA,Plasmalemma_KLA,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_KLA,Dense Microsomes_KLA,Dense Microsomes_KLA,Cytosol_Control,Cytosol_Control,Cytosol_Control,Cytosol_KLA,Cytosol_KLA,Cytosol_KLA,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_KLA,Whole cell homogenate_KLA,Whole cell homogenate_KLA
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42
GPSer(42:1),3.75E-01,3.96E-01,7.67E-05,5.04E-01,5.15E-01,5.61E-01,2.83E-01,3.87E-01,3.89E-01,5.20E-01,3.81E-01,3.17E-01,1.50E-05,5.22E-01,1.49E-01,3.86E-01,3.43E-01,2.85E-01,2.79E-01,3.51E-01,2.71E-01,7.87E-01,3.10E-01,1.06E-05,6.03E-05,3.42E-01,5.73E-01,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,4.22E-01,2.59E-01,3.42E-01,3.99E-01,3.40E-01
GPSer(42:0),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,1.60E-01,2.19E-01,3.55E-01,1.77E-01,1.76E-01,1.50E-05,1.51E-05,1.28E-05,1.52E-05,1.63E-01,2.07E-01,2.15E-01,2.63E-01,9.31E-06,2.50E-01,2.41E-01,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,1.20E-01,1.50E-01,1.09E-01,1.57E-01
GPIns(34:2),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,2.59E-05,1.15E-01,1.56E-01,9.71E-02,3.23E-05,1.50E-05,1.51E-05,7.23E-02,1.52E-05,7.43E-02,6.73E-02,1.18E-05,9.64E-06,7.62E-02,1.04E-01,6.72E-02,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,5.48E-05,5.88E-05,4.99E-05,4.80E-05
GPIns(34:1),9.46E-02,1.03E-01,1.81E-01,3.36E-01,2.44E-01,1.87E-01,1.19E-01,2.12E-01,1.70E-01,4.73E-01,2.57E-01,1.23E-01,1.88E-01,1.46E-01,1.56E-01,2.76E-01,2.43E-01,1.09E-01,9.89E-02,1.49E-01,1.69E-01,3.07E-01,1.72E-01,1.06E-05,1.54E-01,4.95E-05,4.26E-05,5.39E-05,2.33E-01,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.97E-01,1.97E-04,5.05E-01,7.50E-02,6.28E-02,1.18E-01,8.71E-02,6.98E-02
GPIns(36:5),0.12764442,0.175968,0.29269497,0.30785604,0.29791649,0.263271,0.08929392,0.11322425,0.12592882,0.10404464,0.10404267,0.0998305,0.04916788,0.06599358,0.04434298,0.05787014,0.06569941,0.07242553,0.05158663,0.08065309,0.05923094,0.08066764,0.05340338,0.05384771,0.18644519,0.18909667,0.1781311,0.16649566,0.25051806,0.27819757,0.64906724,0.72629614,0.59756938,0.70637609,0.53154627,0.82585719,0.05868701,0.05740813,0.06280897,0.05991859,0.06172761,0.07593371
GPIns(36:4),0.05255947,0.0527904,0.11010906,0.13993456,0.09343744,0.09341874,0.06324986,0.08491819,0.08212749,0.12296185,0.06589369,0.04580458,0.06282562,0.07424278,0.09101981,0.06613731,0.05427343,0.04397264,0.03224164,0.07013312,0.05753862,0.05377843,0.049958,0.07692529,0.12064101,0.09905063,0.09293797,0.09402108,0.09841781,0.05653692,0.19130403,0.27236105,0.21729795,0.21191283,0.1860412,0.1508087,0.17503144,0.03046146,0.03489387,0.02567939,0.02814053,0.02792964
GPIns(36:3),4.20E-02,8.07E-05,7.67E-05,7.70E-05,7.45E-05,1.36E-01,1.12E-01,3.44E-02,5.48E-02,7.09E-02,3.81E-02,1.41E-01,1.72E-01,1.51E-05,3.73E-02,5.79E-02,2.09E-02,2.59E-01,4.73E-02,1.47E-01,1.39E-01,2.30E-01,1.24E-01,1.40E-01,6.03E-05,1.53E-01,3.72E-01,3.04E-01,8.95E-01,1.79E-01,3.76E-04,4.99E-01,9.78E-01,2.99E-04,7.53E-01,3.95E-01,2.88E-02,6.44E-05,6.98E-02,1.07E-01,8.08E-02,9.60E-02
GPIns(36:2),0.2552888,0.351936,0.5017628,0.5877252,0.4197914,0.416138,0.4613519,0.6604748,0.6022682,1.0877394,0.5548942,0.3875772,0.5736252,0.6599358,0.676814,0.6338159,0.6284292,0.4655927,0.3439109,0.4207987,0.5246169,0.5569909,0.3962186,0.3269325,0.5264335,0.5852992,0.5421381,0.3623729,0.3220947,0.2961458,0.3552789,0.34953,0.4997853,0.1575762,0.4385257,0.294436,0.2059193,0.222603,0.2193329,0.1925955,0.1906294,0.1832883
GPIns(36:1),0.180203887,0.205296002,0.250881404,0.573731714,0.392708101,0.263271002,0.223234796,0.382131852,0.34493545,0.945860376,0.416170677,0.17617147,0.300470348,0.32996791,0.303399361,0.551144227,0.428474431,0.230209718,0.279427572,0.368198872,0.338462492,0.691436921,0.447899292,0.184620705,0.329020929,0.396202537,0.402731188,0.303609726,0.375777095,0.170508186,0.000375776,0.453935087,0.369406523,0.000298851,0.442955229,1.005391357,0.123551605,0.164023234,0.149545177,0.203295202,0.163396607,0.096008137
GPIns(36:0),3.00E-02,4.40E-02,4.74E-02,1.08E-01,8.26E-02,8.49E-02,3.05E-02,5.66E-02,5.20E-02,1.37E-01,8.67E-02,3.11E-02,3.55E-02,3.02E-02,1.68E-02,4.13E-02,4.57E-02,3.62E-02,1.91E-02,2.81E-02,4.06E-02,6.72E-02,3.27E-02,2.69E-02,1.43E-02,1.80E-02,4.03E-02,6.27E-02,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,1.44E-01,2.23E-02,1.60E-02,3.10E-02,3.81E-02,2.88E-02
GPIns(38:6),8.26E-05,3.08E-02,7.67E-05,6.16E-02,6.09E-02,3.31E-02,1.34E-02,3.07E-02,3.56E-02,3.64E-02,1.70E-02,3.23E-05,1.50E-05,1.51E-05,2.26E-02,1.52E-05,3.14E-02,1.42E-05,1.18E-05,1.75E-02,1.64E-02,2.11E-02,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,9.47E-03,2.03E-02,7.35E-03,4.80E-05
GPIns(38:5),9.46E-02,1.28E-01,1.53E-01,1.40E-01,9.89E-02,1.36E-01,1.34E-01,2.03E-01,2.14E-01,2.03E-01,1.01E-01,1.12E-01,1.50E-01,2.09E-01,2.10E-01,1.24E-01,1.29E-01,1.68E-01,9.89E-02,1.30E-01,1.44E-01,1.04E-01,7.58E-02,1.06E-05,1.54E-01,1.80E-01,2.09E-01,6.76E-02,4.92E-05,1.26E-01,3.76E-04,2.50E-04,2.39E-01,9.78E-02,2.44E-04,1.97E-04,5.66E-05,8.90E-02,7.18E-02,3.96E-02,4.99E-02,6.55E-02
GPIns(38:4),0.4054587,0.498576,0.5853899,0.335843,0.3249998,0.3227193,0.5878516,0.8491819,0.8212749,0.6148092,0.2913195,0.2525124,0.7102026,0.7149305,0.7701676,0.3306865,0.3142146,0.3621276,0.4728774,0.5610649,0.5584631,0.3073053,0.2239496,0.2692385,0.690944,0.7473821,0.7744831,0.284022,0.3489359,0.3769128,0.5739121,0.6355091,0.5975694,0.2662494,0.3277869,0.3949752,0.2162153,0.3163305,0.2990904,0.1497965,0.1361638,0.1571042
GPIns(38:3),0.4655267,0.498576,0.5993278,0.3778233,0.2708332,0.3481971,0.6548221,0.8491819,0.8212749,0.6148092,0.2774471,0.2642572,0.901411,0.7974224,0.7468292,0.3306865,0.3427795,0.3879939,0.601844,0.6311981,0.6938481,0.3265119,0.2411765,0.2884699,0.7896502,0.7924051,0.7589934,0.3036097,0.3399888,0.314094,0.6149058,0.5901156,0.6518939,0.3097187,0.3898006,0.351887,0.2676951,0.3514784,0.30906,0.1390967,0.1361638,0.1571042
GPIns(38:2),0.123139323,0.111446401,0.153316414,0.139934565,0.162499904,0.101911356,0.141382038,0.188707088,0.213531469,0.260111603,0.128319292,0.082213353,0.210329244,0.151235292,0.172704252,0.135030336,0.148537803,0.113811546,0.113920472,0.138512909,0.143846559,0.184383179,0.101638685,0.094233485,0.1535431,0.162082856,0.224600086,0.117526345,0.080523663,0.098715266,0.075155154,0.136180526,0.000298785,0.000298851,0.000243625,0.000197488,0.07516056,0.070295672,0.082748331,0.056708662,0.059912089,0.043640062
GPIns(38:1),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,2.59E-05,3.01E-05,2.93E-02,1.70E-02,3.23E-05,1.50E-05,1.51E-05,1.28E-05,1.52E-05,1.57E-05,5.43E-03,1.03E-03,3.86E-03,9.31E-06,2.50E-02,1.62E-02,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,5.48E-05,5.88E-05,4.99E-05,4.80E-05
GPIns(40:7),8.26E-05,8.07E-05,7.67E-05,7.28E-02,6.09E-02,4.67E-05,2.75E-02,3.16E-02,1.81E-02,4.07E-02,1.91E-05,3.23E-05,1.50E-05,1.51E-05,1.28E-05,1.52E-05,2.14E-02,1.42E-05,1.81E-02,9.64E-06,1.69E-02,1.06E-05,9.47E-06,1.06E-05,5.04E-02,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,1.41E-01,2.99E-04,2.44E-04,1.97E-04,5.66E-05,3.05E-02,1.99E-02,1.18E-02,1.72E-02,4.80E-05
GPIns(40:6),4.96E-02,6.01E-02,1.27E-01,1.96E-01,1.08E-01,1.78E-01,5.43E-02,3.54E-02,5.20E-02,6.15E-02,3.09E-02,2.99E-02,1.50E-05,6.05E-02,5.83E-02,4.41E-02,4.28E-02,3.36E-02,2.36E-02,2.81E-02,2.88E-02,3.84E-02,1.72E-02,1.06E-05,8.77E-02,6.39E-02,5.89E-02,5.58E-02,4.92E-05,5.65E-02,1.84E-01,2.09E-01,2.01E-01,1.90E-01,2.57E-01,1.97E-04,5.66E-05,2.34E-02,1.20E-02,3.32E-02,1.18E-02,2.36E-02
GPIns(40:5),3.00E-02,4.11E-02,9.76E-02,5.04E-02,1.49E-01,9.34E-02,5.06E-02,5.66E-02,4.33E-02,1.28E-01,4.16E-02,3.58E-02,5.74E-02,6.05E-02,5.13E-02,5.79E-02,7.43E-02,7.24E-02,4.51E-02,4.73E-02,4.06E-02,7.49E-02,5.51E-02,1.06E-05,5.92E-02,6.03E-02,4.26E-05,4.60E-02,4.92E-05,4.94E-05,1.30E-01,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,3.63E-02,2.99E-02,2.03E-02,2.36E-02,2.36E-02
GPIns(40:4),4.81E-02,3.23E-02,7.67E-05,5.18E-02,7.45E-05,1.02E-01,3.27E-02,4.43E-02,6.57E-02,8.04E-02,3.47E-02,3.35E-02,4.92E-02,5.22E-02,6.77E-02,5.24E-02,6.00E-02,5.43E-02,3.22E-02,3.86E-02,3.38E-02,4.99E-02,3.62E-02,1.06E-05,4.50E-02,4.41E-02,6.51E-02,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.55E-01,2.99E-04,2.04E-01,1.97E-04,5.66E-05,2.11E-02,1.79E-02,2.46E-02,2.09E-02,2.01E-02
GPIns(40:3),5.11E-02,8.07E-05,7.67E-05,1.11E-01,1.29E-01,8.49E-02,2.01E-02,3.07E-02,3.56E-02,6.15E-02,3.09E-02,2.82E-02,1.50E-05,1.51E-05,1.28E-05,3.03E-02,5.43E-02,4.91E-02,4.73E-02,2.63E-02,2.54E-02,3.46E-02,3.45E-02,1.06E-05,9.32E-02,7.11E-02,6.51E-02,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,3.12E-01,5.66E-05,1.87E-02,2.29E-02,2.25E-02,2.36E-02,1.92E-02
GPGro(32:1),0.705798556,0.542568005,0.529638519,1.399345645,1.11041601,1.273891944,0.513440031,0.330237403,0.481814597,0.756688301,0.450851567,0.763409705,0.259497119,0.32996791,0.256722536,0.551144227,0.314214583,0.240556223,0.322416429,0.490931829,0.507693738,0.403338204,0.499579979,0.480783087,0.361923022,0.396202537,0.402731188,0.519074692,1.342061055,1.076893808,0.000375776,0.000249664,0.000298785,0.000298851,0.000243625,0.000197488,0.257399178,0.187455125,0.219332926,0.449389395,0.435724284,0.645872922
GPGro(32:0),8.26E-05,3.96E-01,3.21E-01,9.66E-01,8.12E-01,5.27E-01,1.64E-01,3.40E-01,3.78E-01,1.28E+00,4.86E-01,3.82E-01,2.51E-01,2.53E-01,1.66E-01,4.41E-01,5.43E-01,3.88E-01,1.98E-01,2.98E-01,2.20E-01,6.15E-01,9.47E-01,4.81E-01,2.85E-01,2.52E-01,2.40E-01,4.70E-01,9.84E-01,4.31E-01,3.76E-04,2.50E-04,3.86E-01,2.99E-04,2.44E-04,1.04E+00,1.65E-01,1.17E-01,1.40E-01,4.28E-01,4.18E-01,4.28E-01
GPGro(34:3),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,2.59E-05,3.01E-05,2.60E-05,1.91E-05,3.23E-05,1.48E-01,1.57E-01,1.35E-01,9.65E-02,9.43E-02,1.42E-01,1.33E-01,2.10E-01,1.69E-01,1.04E-01,1.45E-01,1.58E-01,2.52E-01,1.80E-01,1.94E-01,2.15E-01,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,7.62E-02,1.10E-01,7.38E-02,6.45E-02,8.73E-02
GPGro(34:2),1.5016991,1.75968,3.0663283,2.3788876,2.302082,1.7834487,1.488232,2.4531921,2.1353147,2.3173579,2.0808534,1.5855432,1.4204053,1.5673476,1.1669206,1.6534327,1.0854686,1.3450455,1.2466769,1.7357947,1.8615437,1.4020804,1.6193282,1.5961998,2.0837992,1.9810127,2.8655873,2.3505269,2.8630636,3.0511991,2.3229775,2.3150689,2.7162244,2.2821381,2.3476627,2.6930126,1.4414354,0.86698,0.9969678,0.7703818,0.8714486,1.0473615
GPGro(34:1),1.651869,2.63952,4.599492,7.556466,5.95833,3.566897,4.985577,3.160844,3.504106,5.675162,4.855325,2.466401,2.048661,2.419765,1.867073,6.889303,2.685106,2.172766,2.794276,2.103994,2.7077,3.64925,5.340338,2.115446,3.509557,3.331703,4.801795,9.500046,3.489359,6.640845,4.645955,4.539351,5.432449,4.727286,3.942302,6.46323,1.956234,2.460349,1.694845,1.925955,2.087846,3.403925
GPGro(34:0),4.51E-01,6.89E-01,1.17E+00,2.94E+00,2.03E+00,1.02E+00,3.79E-01,9.91E-01,9.86E-01,2.32E+00,2.74E+00,5.58E-01,5.19E-01,8.52E-01,3.73E-01,7.44E-01,6.28E-01,4.14E-01,7.09E-01,6.31E-01,5.75E-01,1.21E+00,1.26E+00,3.65E-01,1.21E+00,9.00E-01,6.04E-01,1.76E+00,5.64E-01,4.94E-05,6.49E-01,4.99E-01,5.11E-01,1.63E+00,1.46E+00,5.03E-01,3.81E-01,2.81E-01,4.69E-01,6.95E-01,6.45E-01,7.68E-01
GPGro(36:4),8.26E-05,7.48E-01,7.67E-05,1.23E+00,7.45E-05,9.34E-01,4.09E-05,2.59E-05,3.01E-05,2.60E-05,1.91E-05,6.46E-01,1.50E-05,5.77E-01,4.90E-01,9.09E-01,7.14E-01,6.73E-01,5.37E-01,5.96E-01,7.95E-01,5.19E-01,6.37E-01,1.06E-05,8.66E-01,4.95E-05,1.08E+00,1.18E+00,6.71E-01,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,3.79E-01,3.64E-01,3.81E-01,5.32E-01
GPGro(36:3),4.805437,6.74544,10.035256,6.856794,6.093746,6.029755,5.655282,6.604748,7.665232,7.093953,5.895751,5.167696,3.551013,4.674545,3.500762,4.409154,3.713445,4.914589,3.654053,4.909318,6.092325,3.841316,3.789917,4.807831,7.23846,6.303222,7.512486,6.36601,5.368244,8.525409,6.217381,6.809026,8.148673,5.379326,5.315463,7.899504,4.942064,2.460349,3.190297,2.139949,2.269397,3.316645
GPGro(36:2),16.51869,24.9288,34.844639,27.986913,25.729151,32.271929,19.347016,25.947225,25.185763,26.484091,25.663858,24.076768,13.657743,17.598289,12.836127,17.085471,13.996831,17.589057,12.681713,17.53328,20.30775,15.749397,14.642861,19.231323,21.934729,19.810127,20.136559,21.546497,20.57827,27.819757,17.763946,18.611339,20.100061,14.670888,14.174567,24.775716,14.414354,9.138437,10.966646,9.415778,10.893107,13.96482
GPGro(36:1),7.06E+00,1.23E+01,1.39E+01,2.52E+01,1.49E+01,1.27E+01,9.67E+00,1.51E+01,1.37E+01,2.36E+01,1.84E+01,1.12E+01,6.28E+00,7.15E+00,6.30E+00,1.10E+01,8.57E+00,1.03E+01,6.66E+00,8.07E+00,9.65E+00,9.41E+00,5.00E+00,6.54E+00,6.69E+00,6.48E+00,3.79E+00,4.99E+00,4.83E+00,4.04E+00,4.24E+00,3.77E+00,5.43E+00,5.11E+00,4.43E+00,3.20E+00,5.66E-05,5.16E+00,6.48E+00,7.38E+00,7.35E+00,4.71E+00
GPGro(38:5),1.95E+00,2.79E+00,3.90E+00,4.34E+00,3.52E+00,3.57E+00,2.31E+00,3.26E+00,3.07E+00,4.07E+00,3.26E+00,3.82E+00,1.28E+00,1.81E+00,1.38E+00,1.90E+00,1.46E+00,3.10E+00,1.76E+00,2.10E+00,2.71E+00,1.77E+00,1.62E+00,2.31E+00,1.75E+00,1.71E+00,1.86E+00,1.86E+00,4.92E-05,2.24E+00,3.76E-04,2.50E-04,1.68E+00,2.99E-04,1.24E+00,2.69E+00,1.34E+00,1.05E+00,1.60E+00,1.28E+00,1.36E+00,1.66E+00
GPGro(38:4),5.556287,9.09168,10.59277,10.914896,9.343744,11.040397,6.920279,8.963587,8.760265,13.242045,10.751076,8.808574,3.824168,4.674545,4.200914,6.062586,4.856044,8.277203,5.158663,6.311981,7.615406,5.185777,4.478993,6.346337,4.82564,4.682394,4.56945,5.582501,4.920891,6.910069,4.372664,4.993286,4.889204,4.34693,4.296666,6.104162,4.221347,3.046146,4.286962,4.065904,4.357243,6.022329
GPGro(38:3),12.313932,17.5968,18.119213,12.87398,10.69791,12.738919,14.88232,18.870709,16.425498,16.552557,14.565974,11.157526,7.102026,8.524171,7.93506,7.164875,5.998642,11.122492,10.53227,11.92263,14.215425,5.569909,5.168069,8.077156,9.32226,8.194189,7.667382,5.778379,5.905069,8.076704,8.198744,7.262961,8.691918,4.564276,5.315463,8.258572,6.795338,5.975132,8.573923,4.814886,5.809657,6.89513
GPGro(38:2),11.713253,19.0632,16.725427,16.792148,13.135409,14.437442,14.138204,21.229547,15.877981,26.01116,19.768107,11.744765,7.102026,8.249198,7.701676,9.369452,7.71254,11.122492,10.317326,10.870633,13.030806,7.298501,6.718489,7.884843,9.212586,8.104143,7.357589,8.618599,8.141837,8.974115,6.763964,6.809026,7.062184,7.063761,5.758418,7.540435,5.765742,6.209451,8.773317,6.633843,7.262071,8.728012
GPGro(38:1),1.65E+00,2.20E+00,2.09E+00,3.22E+00,3.25E+00,2.04E+00,1.71E+00,3.44E+00,2.30E+00,6.15E+00,3.81E+00,1.59E+00,1.31E+00,1.15E+00,9.34E-01,1.93E+00,1.57E+00,1.73E+00,7.52E-01,8.59E-01,9.31E-06,3.46E+00,1.41E+00,1.62E+00,1.54E+00,1.08E+00,1.08E+00,1.66E+00,8.68E-01,7.27E-01,3.76E-04,2.50E-04,9.78E-01,1.58E+00,1.20E+00,1.97E-04,2.06E-01,1.64E+00,1.30E+00,1.60E+00,1.54E+00,1.13E+00
GPGro(40:8),3.30E-01,7.77E-01,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.99E-01,7.08E-01,7.12E-01,1.09E+00,6.94E-01,5.17E-01,1.50E-05,3.57E-01,1.28E-05,1.52E-05,1.57E-05,3.36E-01,4.08E-01,3.86E-01,5.25E-01,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,3.39E-01,2.46E-01,3.18E-01,3.75E-01
GPGro(40:7),3.153568018,5.279040049,6.411413654,4.3379715,3.791664425,4.50108487,4.390284326,7.076515785,6.022682457,5.675162254,4.855324567,3.875772347,2.021345979,3.024705841,3.033993608,1.984119217,1.771027649,3.362613863,3.224164291,3.857321517,4.569243639,1.920658113,1.722689583,2.50007205,3.070862005,3.241657124,3.097932217,2.350526909,2.236768424,3.140940272,0.000375776,3.177545611,3.096495856,0.000298851,2.303367191,3.375242414,2.162153091,2.226029605,3.289993895,1.604962124,1.906293744,2.792963986
GPGro(40:6),2.703058301,3.959280037,4.460113847,4.058102371,3.520831252,3.821675833,3.646168339,5.661212628,3.887367768,5.675162254,4.50851567,3.229810289,1.529667227,2.172288741,2.030441876,1.901447583,1.713897725,3.362613863,2.364387147,3.331323128,3.215393672,1.613352815,1.688235791,2.50007205,2.303146504,1.981012687,1.781311025,1.958772424,1.78941474,2.961457971,0.000375776,1.77034684,2.010006082,2.06479164,2.037594053,2.65710573,1.853274078,1.757391793,2.293026048,1.390967174,1.724741959,2.792963986
GPGro(40:5),2.1023787,3.22608,2.7875712,2.6587567,2.302082,2.7176361,2.6788176,3.3495508,2.573328,3.4523904,2.9131947,2.4076768,1.065304,1.5948449,1.3069511,1.4605322,1.1140335,2.0693008,2.0634651,1.9286608,2.3692374,0.9603291,0.8957986,1.7115878,1.535431,1.5307825,1.3166212,1.2732021,1.1631196,1.7050819,1.8447174,1.1348377,1.4667612,0.9237226,1.018797,1.5439939,0.7413096,1.1598786,1.6948453,0.930878,1.1800866,1.6583224
GPGro(40:4),2.10E+00,2.79E+00,2.37E+00,2.38E+00,2.03E+00,2.04E+00,2.46E+00,3.40E+00,2.30E+00,3.74E+00,2.74E+00,2.23E+00,1.17E+00,1.40E+00,1.31E+00,1.57E+00,1.31E+00,2.10E+00,1.98E+00,1.63E+00,2.03E+00,9.99E-01,1.07E+00,1.33E+00,1.43E+00,1.35E+00,1.16E+00,1.18E+00,1.34E+00,1.17E+00,8.88E-01,2.50E-04,1.74E+00,2.99E-04,1.06E+00,1.51E+00,5.66E-05,1.04E+00,1.50E+00,1.01E+00,1.09E+00,1.57E+00
GPGro(40:3),1.80E+00,2.35E+00,1.95E+00,1.68E+00,1.62E+00,1.78E+00,2.16E+00,2.97E+00,2.08E+00,3.12E+00,2.18E+00,1.59E+00,1.15E+00,1.32E+00,1.10E+00,1.13E+00,9.14E-01,1.81E+00,1.63E+00,1.61E+00,1.86E+00,7.11E-01,8.44E-01,1.06E+00,1.10E+00,1.17E+00,9.29E-01,1.08E+00,4.92E-05,4.94E-05,1.16E+00,2.50E-04,1.09E+00,2.99E-04,2.44E-04,1.15E+00,5.66E-05,9.37E-01,1.40E+00,7.38E-01,7.99E-01,1.66E+00
GPGro(40:2),8.11E-01,1.19E+00,1.23E+00,1.39E+00,9.61E-01,8.49E-01,8.19E-01,1.18E+00,9.31E-01,1.89E+00,1.11E+00,7.63E-01,3.55E-01,6.05E-01,5.60E-01,9.65E-01,6.86E-01,6.98E-01,6.88E-01,5.79E-01,7.95E-01,5.76E-01,3.45E-01,5.00E-01,5.59E-01,5.31E-01,4.26E-05,5.88E-01,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,4.57E-01,6.08E-01,5.24E-01,4.36E-01,5.15E-01
CL (66:5),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,1.41E-01,3.02E-02,4.54E-02,2.79E-02,2.74E-02,2.11E-02,1.50E-05,1.51E-05,1.28E-05,1.52E-05,1.57E-05,1.42E-05,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,5.48E-05,5.88E-05,4.99E-05,4.80E-05
CL (66:4),1.65E-01,1.61E-01,3.90E-02,5.04E-02,3.52E-02,3.48E-02,1.12E+00,2.64E-01,3.39E-01,2.27E-01,2.22E-01,2.06E-01,2.54E-02,9.35E-02,3.27E-02,1.98E-02,1.86E-02,2.20E-02,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,2.27E-01,1.64E-01,2.19E-01,1.39E-01,7.99E-02,8.64E-02
CL (66:3),7.66E-02,5.57E-02,9.62E-03,3.08E-02,2.44E-02,1.27E-02,8.19E-01,1.65E-01,1.81E-01,2.51E-01,2.39E-01,1.70E-01,4.92E-03,4.12E-02,1.52E-02,1.38E-02,8.57E-03,2.85E-02,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,1.13E-01,5.86E-02,8.57E-02,7.60E-02,7.44E-02,5.41E-02
CL (66:2),2.25E-02,1.29E-02,1.00E-02,1.54E-02,1.35E-02,2.63E-03,4.09E-05,2.59E-05,3.01E-05,2.32E-02,1.66E-02,3.23E-05,1.50E-05,1.51E-05,1.28E-05,1.52E-05,1.57E-05,1.42E-05,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,3.71E-02,6.44E-05,1.79E-03,6.85E-02,3.99E-02,2.53E-02
