"FA_summed","prod_fraction","nr_of_FAs","FAs"
"42:0",0.00187150286016427,2,"16:0|26:0"
"42:1",0.00187150286016427,2,"18:1|24:0"
"44:1",0.00187150286016427,2,"18:1|26:0"
"44:6",0.00187150286016427,2,"18:1|26:5"
"44:7",0.00187150286016427,2,"18:1|26:6"
"28:0",0.00140737037371925,2,"12:0|16:0"
"44:5",0.00140362744258103,2,"22:0|22:5"
"44:8",0.00140362744258103,2,"22:3|22:5"
"44:9",0.00140362744258103,2,"22:4|22:5"
"44:0",0.000935751425245424,2,"18:0|26:0"
"44:4",0.000935751425245424,2,"20:4|24:0"
"46:4",0.000935751425245424,2,"20:4|26:0"
"46:9",0.000935751425245424,2,"20:4|26:5"
"46:10",0.000935751425245424,2,"20:4|26:6"
"38:8",0.000842176457809876,2,"18:3|20:5"
"32:4",0.000703685183222416,2,"12:0|20:4"
"46:5",0.000701813576189136,2,"22:5|24:0"
"46:11",0.000701813576189136,2,"22:5|24:6"
"48:5",0.000701813576189136,2,"22:5|26:0"
"48:10",0.000701813576189136,2,"22:5|26:5"
"48:11",0.000701813576189136,2,"22:5|26:6"
"32:3",0.000561450984771152,2,"14:0|18:3"
"42:2",0.000467875814193676,2,"20:0|22:2"
"42:3",0.000467875814193676,2,"20:0|22:3"
"44:2",0.000467875717459424,2,"18:2|26:0"
"46:6",0.000421088141844112,2,"22:6|24:0"
"46:12",0.000421088141844112,2,"22:6|24:6"
"48:6",0.000421088141844112,2,"22:6|26:0"
"48:12",0.000421088141844112,2,"22:6|26:6"
"28:1",0.000351842595248416,2,"12:0|16:1"
"30:2",0.000351842595248416,2,"12:0|18:2"
"32:5",0.000316658332813808,2,"12:0|20:5"
"34:6",0.000316658332813808,2,"12:0|22:6"
"46:0",0.000233937858729712,2,"20:0|26:0"
"26:0",0.000211105560058816,2,"12:0|14:0"
"44:3",0.000187150341154952,2,"22:0|22:3"
"44:3",0.000187150341154952,2,"22:1|22:2"
"46:1",9.3575151230624e-05,2,"20:1|26:0"
"46:7",9.3575151230624e-05,2,"20:1|26:6"
"46:3",9.3575151230624e-05,2,"20:3|26:0"
"46:8",9.3575151230624e-05,2,"20:3|26:5"
"48:0",9.3575151230624e-05,2,"22:0|26:0"
"46:1",9.3575151230624e-05,2,"22:1|24:0"
"46:7",9.3575151230624e-05,2,"22:1|24:6"
"48:1",9.3575151230624e-05,2,"22:1|26:0"
"48:7",9.3575151230624e-05,2,"22:1|26:6"
"46:2",9.3575151230624e-05,2,"22:2|24:0"
"46:7",9.3575151230624e-05,2,"22:2|24:5"
"46:8",9.3575151230624e-05,2,"22:2|24:6"
"48:2",9.3575151230624e-05,2,"22:2|26:0"
"48:7",9.3575151230624e-05,2,"22:2|26:5"
"48:8",9.3575151230624e-05,2,"22:2|26:6"
"46:3",9.3575151230624e-05,2,"22:3|24:0"
"46:8",9.3575151230624e-05,2,"22:3|24:5"
"48:3",9.3575151230624e-05,2,"22:3|26:0"
"48:8",9.3575151230624e-05,2,"22:3|26:5"
"48:9",9.3575151230624e-05,2,"22:3|26:6"
"48:4",9.3575151230624e-05,2,"22:4|26:0"
"48:9",9.3575151230624e-05,2,"22:4|26:5"
"30:3",7.0368524869216e-05,2,"12:0|18:3"
"50:0",4.6787565941888e-05,2,"24:0|26:0"
"50:5",4.6787565941888e-05,2,"24:0|26:5"
"50:6",4.6787565941888e-05,2,"24:0|26:6"
"50:5",4.6787565941888e-05,2,"24:5|26:0"
"50:10",4.6787565941888e-05,2,"24:5|26:5"
"50:11",4.6787565941888e-05,2,"24:5|26:6"
"50:6",4.6787565941888e-05,2,"24:6|26:0"
"50:11",4.6787565941888e-05,2,"24:6|26:5"
"50:12",4.6787565941888e-05,2,"24:6|26:6"
"52:5",4.6787565941888e-05,2,"26:0|26:5"
"52:6",4.6787565941888e-05,2,"26:0|26:6"
"52:11",4.6787565941888e-05,2,"26:5|26:6"
"52:0",2.3393782970944e-05,2,"26:0|26:0"
"52:10",2.3393782970944e-05,2,"26:5|26:5"
"52:12",2.3393782970944e-05,2,"26:6|26:6"
"24:0",1.3229282035264e-05,2,"12:0|12:0"
"50:1",0,2,"24:0|26:1"
"50:2",0,2,"24:0|26:2"
"50:3",0,2,"24:0|26:3"
"50:4",0,2,"24:0|26:4"
"50:1",0,2,"24:1|26:0"
"50:2",0,2,"24:1|26:1"
"50:3",0,2,"24:1|26:2"
"50:4",0,2,"24:1|26:3"
"50:7",0,2,"24:1|26:6"
"50:2",0,2,"24:2|26:0"
"50:3",0,2,"24:2|26:1"
"50:4",0,2,"24:2|26:2"
"50:7",0,2,"24:2|26:5"
"50:8",0,2,"24:2|26:6"
"50:3",0,2,"24:3|26:0"
"50:4",0,2,"24:3|26:1"
"50:7",0,2,"24:3|26:4"
"50:8",0,2,"24:3|26:5"
"50:9",0,2,"24:3|26:6"
"50:4",0,2,"24:4|26:0"
"50:7",0,2,"24:4|26:3"
"50:8",0,2,"24:4|26:4"
"50:9",0,2,"24:4|26:5"
"50:7",0,2,"24:5|26:2"
"50:8",0,2,"24:5|26:3"
"50:9",0,2,"24:5|26:4"
"50:7",0,2,"24:6|26:1"
"50:8",0,2,"24:6|26:2"
"50:9",0,2,"24:6|26:3"
"52:1",0,2,"26:0|26:1"
"52:2",0,2,"26:0|26:2"
"52:3",0,2,"26:0|26:3"
"52:4",0,2,"26:0|26:4"
"52:2",0,2,"26:1|26:1"
"52:3",0,2,"26:1|26:2"
"52:4",0,2,"26:1|26:3"
"52:7",0,2,"26:1|26:6"
"52:4",0,2,"26:2|26:2"
"52:7",0,2,"26:2|26:5"
"52:8",0,2,"26:2|26:6"
"52:7",0,2,"26:3|26:4"
"52:8",0,2,"26:3|26:5"
"52:9",0,2,"26:3|26:6"
"52:8",0,2,"26:4|26:4"
"52:9",0,2,"26:4|26:5"
"50:1",0.0217246139856463,3,"16:0|16:0|18:1"
"52:2",0.0217246139856463,3,"16:0|18:1|18:1"
"52:1",0.0217246138733561,3,"16:0|18:0|18:1"
"54:5",0.0217246138733561,3,"16:0|18:1|20:4"
"56:6",0.0162934605734523,3,"16:0|18:1|22:5"
"50:2",0.0108623070489682,3,"16:0|16:1|18:1"
"52:3",0.0108623070489682,3,"16:0|18:1|18:2"
"50:0",0.010862306936678,3,"16:0|16:0|18:0"
"52:4",0.010862306936678,3,"16:0|16:0|20:4"
"54:2",0.010862306936678,3,"18:0|18:1|18:1"
"54:4",0.0108623068805329,3,"16:0|18:0|20:4"
"56:5",0.0108623068805329,3,"18:0|18:1|20:4"
"54:6",0.00977607625423925,3,"16:0|18:1|20:5"
"56:7",0.00977607625423925,3,"16:0|18:1|22:6"
"58:7",0.00814673028672617,3,"18:1|18:1|22:5"
"58:9",0.00814673024461735,3,"16:0|20:4|22:5"
"58:6",0.00814673024461735,3,"18:0|18:1|22:5"
"60:10",0.00814673024461735,3,"18:1|20:4|22:5"
"48:0",0.00724153799521542,3,"16:0|16:0|16:0"
"54:3",0.00724153799521542,3,"18:1|18:1|18:1"
"48:1",0.00651738431921308,3,"14:0|16:0|18:1"
"54:1",0.00543115352448411,3,"16:0|18:1|20:0"
"52:5",0.00543115349641156,3,"16:0|16:1|20:4"
"52:0",0.00543115344026647,3,"16:0|18:0|18:0"
"56:8",0.00543115344026647,3,"16:0|20:4|20:4"
"58:8",0.00488803812711963,3,"18:1|18:1|22:6"
"56:9",0.00488803810185433,3,"16:0|20:4|20:5"
"58:10",0.00488803810185433,3,"16:0|20:4|22:6"
"58:10",0.00488803810185433,3,"18:1|20:4|20:5"
"60:11",0.00488803810185433,3,"18:1|20:4|22:6"
"60:9",0.00407336510125426,3,"18:0|20:4|22:5"
"62:12",0.00366602861428869,3,"18:1|22:5|22:6"
"46:0",0.00325869215960654,3,"14:0|16:0|16:0"
"50:4",0.00325869214276301,3,"14:0|16:0|20:4"
"62:11",0.00305502387331312,3,"18:1|22:5|22:5"
"50:3",0.00271557677627833,3,"16:0|16:1|18:2"
"56:2",0.00271557676224206,3,"18:1|18:1|20:0"
"54:0",0.00271557674820578,3,"16:0|18:0|20:0"
"56:4",0.00271557674820578,3,"16:0|20:0|20:4"
"56:1",0.00271557674820578,3,"18:0|18:1|20:0"
"58:5",0.00271557674820578,3,"18:1|20:0|20:4"
"52:6",0.00244401907619246,3,"16:0|16:1|20:5"
"54:7",0.00244401907619246,3,"16:0|16:1|22:6"
"54:7",0.00244401907619246,3,"16:0|18:2|20:5"
"54:7",0.00244401907619246,3,"16:1|18:1|20:5"
"58:11",0.00219961714836098,3,"16:0|20:5|22:6"
"60:12",0.00219961714836098,3,"18:1|20:5|22:6"
"56:3",0.00217246158945794,3,"16:0|18:1|22:2"
"60:6",0.00203668258220875,3,"18:1|20:0|22:5"
"62:13",0.00203668255062713,3,"20:4|20:4|22:5"
"62:14",0.00183301429766986,3,"20:4|20:5|22:5"
"64:15",0.00183301429766986,3,"20:4|22:5|22:6"
"46:1",0.00162934608822503,3,"14:0|16:0|16:1"
"48:2",0.00162934608822503,3,"14:0|16:0|18:2"
"48:2",0.00162934608822503,3,"14:0|16:1|18:1"
"62:10",0.00152751192876116,3,"18:0|22:5|22:5"
"64:14",0.00152751192876116,3,"20:4|22:5|22:5"
